time,DaymetV4,ACCESS-CM2_ssp585_r1i1p1f1_DBCCA_Daymet,BCC-CSM2-MR_ssp585_r1i1p1f1_DBCCA_Daymet,CNRM-ESM2-1_ssp585_r1i1p1f2_DBCCA_Daymet,MPI-ESM1-2-HR_ssp585_r1i1p1f1_DBCCA_Daymet,MRI-ESM2-0_ssp585_r1i1p1f1_DBCCA_Daymet,NorESM2-MM_ssp585_r1i1p1f1_DBCCA_Daymet
1980-06-02 12:00:00,5.040696,0.10364057,11.177276,2.2148297,10.139111,3.6367342,6.6298866
1980-06-03 12:00:00,2.749556,2.5511734,14.766014,2.770999,9.789634,1.2011225,6.9262204
1980-06-04 12:00:00,4.31143,1.0659231,0.93303657,3.9764814,9.8743305,0.026266312,2.7374558
1980-06-05 12:00:00,3.5738468,0.10757869,0.0,0.00060806505,5.027773,2.8118074,0.0
1980-06-06 12:00:00,2.550004,0.07882234,1.0592984,0.21288133,2.8075094,0.015618929,0.0
1980-06-07 12:00:00,0.2947069,0.0,3.1881487,8.950296,0.0,1.5522907,0.0
1980-06-08 12:00:00,1.6265215,0.0,1.4263062,0.25637752,6.7518983,0.86590874,4.048488
1980-06-09 12:00:00,0.005522509,3.6392083,2.20164,2.104248,5.9418583,0.34122694,5.930023
1980-06-10 12:00:00,0.0006272813,0.53995645,0.0,1.947947,3.625415,0.3377406,0.056685243
1980-06-11 12:00:00,0.34584168,0.00087873463,0.0,0.12671432,17.85821,0.0035289982,0.05527004
1980-06-12 12:00:00,0.0267199,0.0075309817,0.0,0.023002278,5.9020457,0.0,0.43635952
1980-06-13 12:00:00,3.4746916,0.027043957,0.0,0.0,2.279496,1.6017424,0.0
1980-06-14 12:00:00,3.179106,1.1382356,0.16349277,0.6650639,0.12745938,9.969693,0.6846984
1980-06-15 12:00:00,0.17863101,0.035772134,2.4792376,2.7629154,0.3065001,7.4337626,0.40865123
1980-06-16 12:00:00,16.277426,0.51403713,1.9541365,3.6203744,3.939958,0.0070663784,0.003710288
1980-06-17 12:00:00,0.7797225,0.20510073,0.53080416,7.266085,0.11662914,5.4932046,0.0007300257
1980-06-18 12:00:00,0.0,0.0,0.42171592,4.106432,2.5444925,0.033115227,0.5981338
1980-06-19 12:00:00,0.0,0.0,0.016346121,1.9714794,1.2022396,0.03667336,1.1272504
1980-06-20 12:00:00,0.0,0.0014909199,0.0707417,1.1564325,2.2888474,0.0,0.0015100716
1980-06-21 12:00:00,0.0,5.100265,9.833935,3.66677,0.6474921,0.32087606,3.3237753
1980-06-22 12:00:00,2.273272,0.19720735,0.07185735,4.3213043,0.09930593,0.9686217,3.30096
1980-06-23 12:00:00,1.5040792,3.9889846,0.0,2.6780102,0.0,0.46924073,3.285708
1980-06-24 12:00:00,7.3819494,1.055121,0.24536146,2.148134,0.19703759,5.7083874,2.201125
1980-06-25 12:00:00,10.514175,5.353538,7.5154233,0.30721146,0.15917963,7.9407578,0.9561054
1980-06-26 12:00:00,6.177399,3.6649098,5.9309444,2.698007,25.736467,7.1093645,0.0
