,0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,4.4856
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,3.3692000000000006
2020-09-15,2.3464
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,12.563600000000001
2020-09-19,4.0299999999999985
2020-09-20,0.0
2020-09-21,5.507999999999999
2020-09-22,7.7944
2020-09-23,59.9564
2020-09-24,28.974
2020-09-25,35.28759999999999
2020-09-26,18.8572
2020-09-27,1.806
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.5636
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.12279999999999999
2020-10-09,28.256000000000004
2020-10-10,26.810000000000006
2020-10-11,34.317199999999985
2020-10-12,16.234399999999997
2020-10-13,34.6744
2020-10-14,12.739600000000001
2020-10-15,8.898400000000004
2020-10-16,35.48440000000001
2020-10-17,15.791200000000002
2020-10-18,12.9
2020-10-19,4.9723999999999995
2020-10-20,6.820000000000002
2020-10-21,5.7896
2020-10-22,2.3579999999999997
2020-10-23,20.794
2020-10-24,0.0
2020-10-25,0.6711999999999999
2020-10-26,2.1435999999999997
2020-10-27,3.613600000000001
2020-10-28,1.9787999999999997
2020-10-29,10.731200000000001
2020-10-30,9.958
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,5.117999999999999
2020-11-03,32.772000000000006
2020-11-04,44.442
2020-11-05,23.565599999999996
2020-11-06,0.2792
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,10.041600000000003
2020-11-10,5.42
2020-11-11,0.0
2020-11-12,35.2608
2020-11-13,29.840799999999998
2020-11-14,19.207199999999997
2020-11-15,19.75400000000001
2020-11-16,28.282000000000007
2020-11-17,29.37039999999999
2020-11-18,24.395599999999998
2020-11-19,11.918000000000001
2020-11-20,12.1096
2020-11-21,0.7731999999999999
2020-11-22,3.3727999999999994
2020-11-23,3.4447999999999994
2020-11-24,20.4476
2020-11-25,5.4272
2020-11-26,3.0704000000000007
2020-11-27,6.219200000000001
2020-11-28,1.9871999999999996
2020-11-29,9.304799999999998
2020-11-30,16.820800000000006
2020-12-01,0.3188
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.4376
2020-12-06,0.1264
2020-12-07,15.121999999999998
2020-12-08,24.07
2020-12-09,7.452000000000002
2020-12-10,3.3991999999999996
2020-12-11,1.2316
2020-12-12,1.4344
2020-12-13,10.6636
2020-12-14,11.499999999999998
2020-12-15,17.272800000000004
2020-12-16,22.276400000000002
2020-12-17,13.299599999999998
2020-12-18,15.096000000000004
2020-12-19,27.633599999999998
2020-12-20,15.6932
2020-12-21,54.52360000000001
2020-12-22,2.0484000000000004
2020-12-23,0.0
2020-12-24,2.2900000000000005
2020-12-25,13.718
2020-12-26,12.634
2020-12-27,3.6108000000000002
2020-12-28,0.0
2020-12-29,21.0048
2020-12-30,29.298799999999996
2021-01-01,29.747200000000003
2021-01-02,48.58600000000001
2021-01-03,12.2444
2021-01-04,27.649999999999995
2021-01-05,31.415999999999993
2021-01-06,11.405200000000002
2021-01-07,1.0428
2021-01-08,5.193200000000001
2021-01-09,2.2984
2021-01-10,7.2524
2021-01-11,34.9576
2021-01-12,55.5112
2021-01-13,8.314
2021-01-14,8.3984
2021-01-15,6.6251999999999995
2021-01-16,8.84
2021-01-17,6.4584
2021-01-18,0.0
2021-01-19,0.0644
2021-01-20,0.02
2021-01-21,0.0
2021-01-22,0.0
2021-01-23,0.1536
2021-01-24,4.110800000000001
2021-01-25,1.2872
2021-01-26,1.2856
2021-01-27,2.8696
2021-01-28,5.030799999999999
2021-01-29,2.7867999999999995
2021-01-30,12.4464
2021-01-31,27.583600000000004
2021-02-01,29.944800000000004
2021-02-02,15.341600000000001
2021-02-03,5.900399999999999
2021-02-04,35.12319999999999
2021-02-05,13.8824
2021-02-06,28.7992
2021-02-07,10.6656
2021-02-08,1.8048
2021-02-09,0.35479999999999995
2021-02-10,0.2932
2021-02-11,0.0
2021-02-12,10.676000000000002
2021-02-13,6.7151999999999985
2021-02-14,7.949199999999999
2021-02-15,13.5436
2021-02-16,8.207199999999998
2021-02-17,1.2904
2021-02-18,15.382399999999997
2021-02-19,11.6556
2021-02-20,11.332799999999997
2021-02-21,42.65160000000001
2021-02-22,32.34360000000001
2021-02-23,14.653199999999995
2021-02-24,19.550399999999996
2021-02-25,29.479600000000005
2021-02-26,14.6052
2021-02-27,9.839200000000002
2021-02-28,3.6683999999999997
2021-03-01,2.5348
2021-03-02,0.2524
2021-03-03,0.0
2021-03-04,8.493599999999999
2021-03-05,5.9087999999999985
2021-03-06,3.3908
2021-03-07,6.1588
2021-03-08,0.0
2021-03-09,0.07400000000000001
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,8.515199999999998
2021-03-15,0.1628
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,8.000000000000002
2021-03-19,8.176400000000001
2021-03-20,6.4152
2021-03-21,13.940800000000001
2021-03-22,4.3284
2021-03-23,5.568000000000001
2021-03-24,13.9948
2021-03-25,0.3812
2021-03-26,0.53
2021-03-27,3.3651999999999997
2021-03-28,23.262400000000007
2021-03-29,4.9296
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,6.538799999999998
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,15.493599999999999
2021-04-08,5.248800000000001
2021-04-09,9.686
2021-04-10,6.553600000000001
2021-04-11,0.10679999999999999
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,3.2856
2021-04-24,8.5044
2021-04-25,5.122000000000001
2021-04-26,2.7268
2021-04-27,0.2416
2021-04-28,0.0
2021-04-29,1.6172
2021-04-30,6.114400000000001
2021-05-01,1.2908
2021-05-02,0.0
2021-05-03,3.1412
2021-05-04,0.6168
2021-05-05,0.0
2021-05-06,8.721200000000001
2021-05-07,7.4732
2021-05-08,0.14279999999999998
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.17800000000000002
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,14.0604
2021-05-18,6.719200000000001
2021-05-19,4.670000000000001
2021-05-20,5.0888
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,3.0743999999999994
2021-05-24,3.1748000000000003
2021-05-25,3.880800000000001
2021-05-26,5.772800000000001
2021-05-27,30.255999999999993
2021-05-28,3.6104
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,3.3508000000000004
2021-06-05,9.5704
2021-06-06,7.722399999999999
2021-06-07,1.6532000000000002
2021-06-08,4.239199999999999
2021-06-09,0.11359999999999999
2021-06-10,0.5164
2021-06-11,5.754000000000001
2021-06-12,4.3047999999999975
2021-06-13,15.283199999999999
2021-06-14,5.0248
2021-06-15,7.0744
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
